"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"VEI"	"Agent"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"
	1730					"Raung"	"Java"	"Indonesia"	-8.119	114.056	3260	"Stratovolcano"	3	"M,T"		3										3								
	1760					"Kie Besi"	"Halmahera-Indonesia"	"Indonesia"	0.32	127.4	1357	"Stratovolcano"	4	"M"	2000	4									2000	4								
	1770			500	9532	"Dempo"	"Sumatra"	"Indonesia"	-4.016	103.121	3142	"Stratovolcano"																				3		3
	1772	5	9	504		"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.81	127.332	1714	"Stratovolcano"	3	"T"	35	1									35	1								
	1772	8	12			"Papandayan"	"Java"	"Indonesia"	-7.32	107.73	2665	"Stratovolcano"	3	"A"	2957	4								3	2957	4								3
	1773	2	2			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.81	127.332	1714	"Stratovolcano"	2	"I"		2										2								
	1775					"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.81	127.332	1714	"Stratovolcano"	3	"P,I"	1300	4									1300	4								
	1775					"Lokon-Empung"	"Sulawesi-Indonesia"	"Indonesia"	1.358	124.792	1580	"Stratovolcano"	3			1										1								
	1786					"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	2	"A"	38	1								2	38	1								2
	1800	10	8			"Guntur"	"Java"	"Indonesia"	-7.143	107.841	2251	"Complex volcano"		"M"		3										3								
	1812	8	6			"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"	3	"P,M"	953	3									953	3								
	1815	4	10	613		"Tambora"	"Lesser Sunda Is"	"Indonesia"	-8.25	118	2850	"Stratovolcano"	7	"P,W,A,I"	11000	4				4		4		4	60000	4				4		4		4
	1817	1	24			"Ijen"	"Java"	"Indonesia"	-8.058	114.242	2769	"Stratovolcano"	2	"M"		2							90	2		2							90	2
	1817					"Raung"	"Java"	"Indonesia"	-8.119	114.056	3260	"Stratovolcano"	4			1										1								
	1822	10	8			"Galunggung"	"Java"	"Indonesia"	-7.25	108.058	2168	"Stratovolcano"	5	"P,M"	4011	4						3		3	4011	4						3		3
	1822	12	27			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3		100	2				2		3		3	100	2				2		3		3
	1826	10	11			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	2			2										2								
	1826	10	13			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	4	"M"		1			65	2		3		3		1			65	2		3		3
	1829					"Guntur"	"Java"	"Indonesia"	-7.143	107.841	2251	"Complex volcano"	2			3										3								
	1832	12	25			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3		32	1								2	32	1								2
	1833	11	24			"Kaba"	"Sumatra"	"Indonesia"	-3.522	102.615	1940	"Stratovolcano"	2	"M"	126	3									126	3								
	1837	9		706	6050	"Peuet Sague"	"Sumatra"	"Indonesia"	4.903	96.289	2785	"Complex volcano"																						
	1838	2	26			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.81	127.332	1714	"Stratovolcano"	2	"T"	4	1									4	1								
	1840	2	2	718		"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.81	127.332	1714	"Stratovolcano"	3									1										2	500	3
	1843	8				"Lamongan"	"Java"	"Indonesia"	-7.981	113.341	1641	"Stratovolcano"	2		4	1									4	1								
	1845	2	8	741	1865	"Soputan"	"Sulawesi-Indonesia"	"Indonesia"	1.112	124.737	1785	"Stratovolcano"	2												118	3						2		3
	1846	5	27			"Tangkuban Parahu"	"Java"	"Indonesia"	-6.77	107.6	2084	"Stratovolcano"	2			1										1								
	1847	12	4			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	2			2										2								
	1848	5	16			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	3	"M"	21	1							800	3	22	1							800	3
	1856	3	2	859	1995	"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"	3	"P"	2806	4				2		3		3	2806	4				2		3		3
	1860	4				"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2									1												1
	1861	12	29			"Kie Besi"	"Halmahera-Indonesia"	"Indonesia"	0.32	127.4	1357	"Stratovolcano"	4	"P,I"	326	3			47	1				3	326	3			47	1				3
	1864	1	3			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	2	"M"	54	2								3	54	2								3
	1869	7	7			"Lewotobi"	"Lesser Sunda Is"	"Indonesia"	-8.542	122.775	1703	"Stratovolcano"	2		2	1									2	1								
	1869	8				"Lamongan"	"Java"	"Indonesia"	-7.981	113.341	1641	"Stratovolcano"	2	"T,A"	8	1									8	1								
	1870	8				"Ruang"	"Sangihe Is-Indonesia"	"Indonesia"	2.3	125.37	725	"Stratovolcano"	2			1							40	1		1							40	1
	1870					"Iliwerung"	"Lesser Sunda Is"	"Indonesia"	-8.532	123.573	583	"Complex volcano"	3			1										1								
	1871	3	3	1022		"Ruang"	"Sangihe Is-Indonesia"	"Indonesia"	2.3	125.37	725	"Stratovolcano"	2	"W"								1		1	400	3						2	75	2
	1871	8	7			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.81	127.332	1714	"Stratovolcano"	2	"T"	1	1			1	1					1	1			1	1				
	1872	4	15			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	4	"T"	30	1				1			50	1	30	1				1			50	1
	1872	4	17			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	4	"P"	170	3								2	170	3								2
	1872	11	3			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	4	"P,T"	200	3						3		3	200	3						3		3
	1875	1	29			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	0	"m"		1						2		2		1						2		2
	1883	8	27	1142		"Krakatau"	"Indonesia"	"Indonesia"	-6.101	105.423	285	"Caldera"	6	"W,P,I"	2000	4				3		3		3	36417	4				3		3		3
	1883	10	10	1144		"Krakatau"	"Indonesia"	"Indonesia"	-6.101	105.423	285	"Caldera"																						
	1884	2		1145		"Krakatau"	"Indonesia"	"Indonesia"	-6.101	105.423	285	"Caldera"																						
	1885	4	18			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2	"A"	74	2									74	2								
	1889	9	6	1181	6309	"Banua Wuhu"	"Sangihe Is-Indonesia"	"Indonesia"	3.138	125.491	-5	"Submarine volcano"	2																			2		2
	1890	6	29			"Kie Besi"	"Halmahera-Indonesia"	"Indonesia"	0.32	127.4	1357	"Stratovolcano"	2									3		3								3		3
	1892	5	21			"Sorikmarapi"	"Sumatra"	"Indonesia"	0.686	99.539	2145	"Stratovolcano"	2	"M"	180	3									180	3								
	1892	6	7	1197		"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"	3	"P,M"	1532	4						3		3	1532	4						3		3
	1895	5	22			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2			1						1				1						1		
	1901	5	22			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	3			2										2								
	1902	12				"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"P"	16	1			45	1				2	16	1			45	1				2
	1907	9	28			"Lewotobi"	"Lesser Sunda Is"	"Indonesia"	-8.542	122.775	1703	"Stratovolcano"	2		1	1				1					1	1				1				
	1909	9				"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2	"m"	221	3						1			221	3						1		
	1911	11	8			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3									1										1		
	1913	3	14	1407	2973	"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"	2												138	3				2		2		3
	1913	6	23			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2									1										1		
	1918	7	18	1454		"Banua Wuhu"	"Sangihe Is-Indonesia"	"Indonesia"	3.138	125.491	-5	"Submarine volcano"	3																					
	1919	4	3	3511		"Banua Wuhu"	"Sangihe Is-Indonesia"	"Indonesia"	3.138	125.491	-5	"Submarine volcano"	3									1		1								1		1
	1919	5	19			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	4	"M"	5110	4							9000	4	5110	4							9000	4
	1920	7	25			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3	"P"	33	1									33	1								
	1923	3	11			"Papandayan"	"Java"	"Indonesia"	-7.32	107.73	2665	"Stratovolcano"	1	"G"	1	1									1	1								
	1923	6				"Tangkuban Parahu"	"Java"	"Indonesia"	-6.77	107.6	2084	"Stratovolcano"		"G"	3	1									3	1								
	1928	3	26	1593		"Krakatau"	"Indonesia"	"Indonesia"	-6.101	105.423	285	"Caldera"	2																					
	1928	5	13			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	2	"T"	40	1									40	1								
	1928	8	4	1607		"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"	3	"W,T"	98	2						1			226	3			200	3		2		2
	1930	3	17	1624		"Krakatau"	"Indonesia"	"Indonesia"	-6.101	105.423	285	"Caldera"	2																					
	1930	12	18			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3	"P,M"	1369	4						3	1109	4	1369	4						3	1109	4
	1932	2				"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"m"		1										1								
	1939	10	13			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	1	"T"	10	1						1			10	1						1		
	1940	6	20			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	2		1	1			2	1					1	1			2	1				
	1941	9	21			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2									1										1		
	1944	12	4			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	2	"T"	117	3			250	3					117	3			250	3				
	1946	2				"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2	"F"	6	1						2	81	2	6	1						2	81	2
	1946	10	29			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2									1										1		
	1948	4	7			"Iliwerung"	"Lesser Sunda Is"	"Indonesia"	-8.532	123.573	583	"Complex volcano"	2									2										2		
	1950	8	28			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	1	"P"	6	1									6	1								
	1951	8	31			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	3		7	1									7	1								
	1953	3	23			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3	"P"	64	2			57	2		2	144	3	64	2			57	2		2	144	3
	1953	6				"Sirung"	"Lesser Sunda Is"	"Indonesia"	-8.497	124.131	1347	"Complex volcano"	0		5	1			1	1					5	1			1	1				
	1958	7	12			"Mahawu"	"Sulawesi-Indonesia"	"Indonesia"	1.352	124.865	1299	"Stratovolcano"	2	"M"	1	1			10	1					1	1			10	1				
	1961	5	8			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3	"P"	6	1			6	1		2		3	6	1			6	1		2		3
	1962	10				"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"m"	2	1									2	1								
	1962	12	31			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.81	127.332	1714	"Stratovolcano"	2		5	1			5	1					5	1			5	1				
	1963	3	18	1942		"Agung"	"Lesser Sunda Is"	"Indonesia"	-8.343	115.508	2997	"Stratovolcano"	5	"P,T,M,A"	1028	4		3	624	3					1028	4		3	624	3				
	1963	5	5			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2	"T"	1	1									1	1								
	1963	5	16		4292	"Agung"	"Lesser Sunda Is"	"Indonesia"	-8.343	115.508	2997	"Stratovolcano"	3		120	2									120	2								
	1963	9	5			"Batur"	"Lesser Sunda Is"	"Indonesia"	-8.24	115.378	1711	"Caldera"	2		2	1								1	2	1								1
	1964	1	1			"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"	2		1	1			3	1					1	1			3	1				
	1964	12	13			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	1		114	3									114	3								
	1966	4	26			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	4	"M,m,P"	215	3	78	2	86	2					215	3	78	2	86	2				
	1966	8	12			"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"	4	"P,M,I"	39	1			1000	3				2	39	1			1000	3				2
	1967	8	31			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"M"	3	1						1			3	1						1		
	1969	1	7			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"P"	3	1									3	1								
	1969	1	28			"Iya"	"Lesser Sunda Is"	"Indonesia"	-8.891	121.641	618	"Stratovolcano"	3	"T,m"	2	1			10	1			287	3	2	1			10	1			287	3
	1973	1				"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"	3									1		1								1		1
	1973	12		5761		"Iliwerung"	"Lesser Sunda Is"	"Indonesia"	-8.532	123.573	583	"Complex volcano"	2	"W"											2	1								
	1974	2	11			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	3	"A"	4	1									4	1								
	1974	10	22			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"M"	9	1							6	1	9	1							6	1
	1975	1				"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"	2	"M"	80	2						3		3	80	2						3		3
	1976	8	31			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2	"M"	119	3									119	3								
	1976	9	15			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	2	"P,L"	1	1			1	1			24	1	1	1			1	1			24	1
	1976	11	25			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"M"	29	1									29	1								
	1978	9	19			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"M"	12	1									12	1								
	1978					"Tangkuban Parahu"	"Java"	"Indonesia"	-6.77	107.6	2084	"Stratovolcano"		"I"	3	1									3	1								
	1979	2	20			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	1	"G"	149	3									149	3								
	1979	4	30			"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"	2	"M"	80	2									80	2								
	1979	7	18	2115		"Iliwerung"	"Lesser Sunda Is"	"Indonesia"	-8.532	123.573	583	"Complex volcano"		"W"											1239	4			32	1		3		3
	1981	3	29			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"P"	1	1									1	1								
	1981	5	14			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"m"	372	3	120	3	152	3					372	3	120	3	152	3				
	1981	9	5			"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"	2	"P"								1		1								1		1
	1981	10	20	5759		"Krakatau"	"Indonesia"	"Indonesia"	-6.101	105.423	285	"Caldera"	1	"A,T,W"																				
	1982	5	17			"Galunggung"	"Java"	"Indonesia"	-7.25	108.058	2168	"Stratovolcano"	4	"I,T"	68	2					15	3			68	2					15	3		
	1983	7	23			"Colo"	"Sulawesi-Indonesia"	"Indonesia"	-0.162	121.601	404	"Stratovolcano"	4									2		3								2		3
	1983	8	17	4702		"Iliwerung"	"Lesser Sunda Is"	"Indonesia"	-8.532	123.573	583	"Complex volcano"	1	"W"																				
	1985	5	10			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"A"	70	2									70	2								
	1986	10	15			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"M"	1	1									1	1								
	1987	12	1		5150	"Sirung"	"Lesser Sunda Is"	"Indonesia"	-8.497	124.131	1347	"Complex volcano"													125	3				3	5	3	237	3
	1988	7	30			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	1	1									1	1								
	1990	2	10			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	4	"T,P"	35	1									35	1								
	1990	11	25			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"		"m"	4	1									4	1								
	1991	10	24			"Lokon-Empung"	"Sulawesi-Indonesia"	"Indonesia"	1.358	124.792	1580	"Stratovolcano"	1	"T,P"	1	1									1	1								
	1992	1	21			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	2	"M"	2	1									2	1								
	1992	3	18			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"		"G"	1	1			2	1					1	1			2	1				
	1992	5	11			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	1	"P"	6	1			1	1					6	1			1	1				
	1992	7	5			"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"	2	"T"	1	1			5	1					1	1			5	1				
	1992					"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	3	1									3	1								
	1993	1	21			"Wurlali"	"Banda Sea"	"Indonesia"	-7.125	128.675	868	"Stratovolcano"		"m"	1	1			12	1					1	1			12	1				
	1993	6	13			"Krakatau"	"Indonesia"	"Indonesia"	-6.101	105.423	285	"Caldera"	1	"T"	1	1			5	1					1	1			5	1				
	1994	2	3			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"P"	6	1									6	1								
	1994	11	3			"Rinjani"	"Lesser Sunda Is"	"Indonesia"	-8.42	116.47	3726	"Stratovolcano"	3	"m"	31	1									31	1								
	1994	11	22			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3		60	2									60	2								
	1995	5	15			"Kelimutu"	"Lesser Sunda Is"	"Indonesia"	-8.77	121.82	1639	"Complex volcano"			1	1									1	1								
	1997	1	14			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2		6	1				1					6	1				1				
	1997	4	17			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	1	"P"	3	1									3	1								
	1997	9	2			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	2	1									2	1								
	1998	7				"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"		"m"	10	1									10	1								
	2000	7	27			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	2	1									2	1								
	2000	11				"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"A"	1	1									1	1								
	2001	8	5			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"P"	2	1									2	1								
	2002	1	3			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	3	"M"								1		1								1		1
	2002					"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	3	1									3	1								
	2004	1	29			"Egon"	"Lesser Sunda Is"	"Indonesia"	-8.676	122.455	1661	"Stratovolcano"	1	"T"	1	1									1	1								
	2004	6	8			"Tengger Caldera"	"Java"	"Indonesia"	-7.942	112.95	2329	"Stratovolcano"	2	"T"	2	1			5	1														
	2006	6	14			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	1		2	1									2	1								
	2007	7	7			"Salak"	"Java"	"Indonesia"	-6.716	106.733	2218	"Stratovolcano"		"G"	6	1									6	1								
	2010	8	6			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	3		4	1			5	1				1	4	1			5	1				1
	2010	8	30			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			2	1									2	1								
	2010	10	26			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"			367	3			277	3	600	4		3	367	3			277	3	600	4		3
	2010	12	28			"Tengger Caldera"	"Java"	"Indonesia"	-7.942	112.95	2329	"Stratovolcano"										1												
	2011	1	3			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"M"	1	1			1	1		1			1	1			1	1		1		
	2011	3	18			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"										1										1		
	2011	7	17			"Lokon-Empung"	"Sulawesi-Indonesia"	"Indonesia"	1.358	124.792	1580	"Stratovolcano"			1	1									1	1								
	2011	12	27			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.81	127.332	1714	"Stratovolcano"	3	"m"	4	1				1					4	1				1				
	2013	2	12			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"M"	1	1			1	1		1			1	1			1	1		1		
	2013	2				"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"										1		1								1		1
	2013	8	10			"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"	3		5	1									5	1								
	2013	9	15			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"	2									2										2		
	2014	2	1			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			17	1			3	1		1		2	17	1			3	1		1		2
	2014	2	13			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"			7	1						3	4098	4	7	1						3	4098	4
	2014	12	18			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.81	127.332	1714	"Stratovolcano"			1	1			4	1					1	1			4	1				
	2015	2	20			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"										1		1								1		1
	2015	5	7			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"										1		1								1		1
	2015	10	16			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"		"M"	1	1						1			1	1						1		
	2016	5	9			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			1	1			4	1		1	3	1	1	1			4	1		1		
	2016	5	21			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			7	1			3	1	100	4			7	1			3	1	100	4		
	2016	9	27			"Rinjani"	"Lesser Sunda Is"	"Indonesia"	-8.42	116.47	3726	"Stratovolcano"					44	1									44	1						
	2017	4	13			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"	2	"P"								1		2								1		2
	2017	7	1			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"			8	1			11	1					8	1			11	1				
	2017	12	18			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"A"	8	1			8	1					8	1			8	1				
