"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
	407	4	1				2315		"TURKEY:  MARMARA SEA"	41	29		6.6	8								1												1				
	440	10	26						"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	41	29			7								3																
	447	1	26				41		"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	40.9	28.5		7.3	9		3						3		3				3						3		3		
	450						4294		"INSTANBUL (CONSTANTINOPLE)"	40.4	28.4			5																								
	457								"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1			10								4												4				
	458	9							"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1			9	80000	4						3					80000	4						3				
	477	9	25						"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	41	29			10		3						3																
	478	9	25				2317		"TURKEY:  MARMARA SEA"	40.8	29.2		7.2	9																								
	525	5	29						"TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG"	36.25	36.1		7	9	250000	4						4					250000	4						4				
	528	11	29						"TURKEY:  ANTAKYA (ANTIOCH)"	36.25	36.1		7.1	10	4870	4						4					4870	4						4				
	543						43		"TURKEY:  CYZICUS"	40.3	27.8		6.8	10								3						3						3				
	555	8	15				3785		"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	41.04	28.98			10																								
	557	7	9						"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1			10								3		3										3		3		
	557	10	14						"TURKEY:  MARMARA SEA"	40.9	27.6																											
	557						2286		"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	40.9	27.6		7	9																								
	558	12	14				49		"TURKEY"	40.9	28.8		7	9																								
	565								"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1				30000	4																						
	579								"TURKEY:  ANTAKYA (ANTIOCH)"	36	36											3																
	581	7	9						"TURKEY:  ANTAKYA (ANTIOCH)"	36.1	36.1			9								3																
	587	9	30						"TURKEY:  ANTAKYA (ANTIOCH)"	36.25	36.1			9	60000	4						4					60000	4						4				
	688								"TURKEY:  IZMIR"	38.4	27.2			9	2000	4						3																
	713	3	20						"TURKEY:  ANTAKYA (ANTIOCH)"	36	36			7								3																
	715								"TURKEY:  IZNIK"	40.4	28.9			9								2																
	716	8	25						"TURKEY:  ANTAKYA (ANTIOCH)"	36	36											2																
	740	10	26				56		"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	40.7	29.3		7.3	9		3						3		3				3						3		3		
	803	12	19				64		"TURKEY: GULF OF ISKENDERUN"	36.95	35.6											1												1				
	835	1	5						"TURKEY:  ANTAKYA (ANTIOCH)"	36	36			9								3																
	846								"TURKEY:  ANTAKYA; LEBANON:  HIMS; IRAQ:  MOSUL"	36.1	36.1			8								3												3				
	858	1							"TURKEY; ARMENIA:  DVINA"	40	44.6	10	5.2		12000	4						3																
	859	4	8						"TURKEY:  ANTAKYA (ANTIOCH)"	36	36			11		3						3																
	863	4							"TURKEY; ARMENIA:  DVINA"	40	44.6	10	4.9			3						2																
	867	1	9						"TURKEY"	41	29			10																								
	972								"TURKEY:  ANTAKYA (ANTIOCH); SYRIA"	36.1	36.1			9								2																
	1003								"TURKEY:  KARS, DIGOR, ANI (ARMENIA)"	40.5	43.3	20	4.2	7		3						2																
	1010	3	9						"TURKEY"	41	29.5			10																								
	1039	2	2				87		"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	38.4	27.3		6.8			3						2		2		2		3						2		2		
	1045								"TURKEY"	39.7	39.5			9								2																
	1046								"TURKEY:  ANI (ARMENIA)"	40.5	43.5	15	5.5	8		3						3																
	1063	9	23						"TURKEY:  ISTANBUL,TRAKYA, ERDEK, IZNIK"	40.4	28.9			8																								
	1064								"TURKEY:  IZNIK,NICAEA"	40.7	29.7											3																
	1082	12	6						"TURKEY"	40.5	28.5			10																								
	1085	4	29						"TURKEY:  ERZURUM"	39.9	41.1					3																						
	1091	9	26						"TURKEY:  ANTAKYA (ANTIOCH); SYRIA"	36.1	36.1			9								3												3				
	1106								"TURKEY:  ANTAKYA (ANTIOCH), AL-DAINOOR"	36.2	36.1			8								1		1		1								1		1		
	1109								"TURKEY:  ANTAKYA (ANTIOCH)"	36.2	36.1			11								3		3		3								3		3		
	1111								"TURKEY:  VAN"	38.5	43.4			9								3																
	1114	3	12						"TURKEY:  SANAOSATA,GHISN-MANSUR,KNESUN,MARAS"	37.5	38.5																											
	1114								"TURKEY:  ANTAKYA (ANTIOCH); SYRIA:  HALAB (ALEPPO)"	36.1	36.1											2																
	1115								"TURKEY:  ANTIOCH; SYRIA: ALEPPO; ISRAEL: PALESTINE"	36.1	36.1											3																
	1115								"TURKEY:  HARRAN,KUFA,SAMSAT,EL-SUN"	36.8	39			10								3																
	1179								"TURKEY:  ANTIOCH; SYRIA:DAMASCUS; LEBANON:TRIPOLIS"	36.1	36.1											3																
	1231	3	11				3478		"TURKEY: ISTANBUL (CONSTANTINOPLE)"	41	28.6		6.9	8								1		1										1		1		
	1268								"TURKEY:  ERZINCAN"	39.75	39.5			9	15000	4						3		3			15000	4						3		3		
	1269								"TURKEY:  CICILIA, CEYHAN (SEYHAN)"						8000	4						3			3		8000	4						3		3		
	1332	2	12			0	115		"MARMARA SEA"																													
	1343	10	18				3114		"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	40.8	28.3		7.5	8								3		3				3						3		3		
	1353								"TURKEY"	40.8	27			11																								
	1383	8	6						"TURKEY"	39.2	26.2			10																								
	1407	4	9						"TURKEY:  ANTAKYA (ANTIOCH)"	36	36					3																						
	1408	12	20				3565		"TURKEY:  ANTIOCH; SYRIA: ALEPPO; LEBANON: TRIPOLIS"	36.2	36.1			10		3						3						3						3				
	1419	3	15				2318		"MARMARA SEA"	40.9	28.9																											
	1441								"TURKEY:  VAN,NEMRUT"	38.3	43.2											3																
	1444								"TURKEY:  NEMRUT MTNS"	38.7	42.2				30000	4																						
	1456	11	29						"TURKEY:  ERZINCAN"	39.8	39.5											3																
	1458								"TURKEY:  ERZINCAN,ERZURUM"	39.9	40.4				32000	4																						
	1482								"TURKEY:  ERZINCAN,ERZURUM"	39.9	40.4		7.5	10	30000	4						3																
	1489						139		"SOUTH COASTS OF ASIA MINOR"																													
	1509	9	10				152		"TURKEY:  ISTANBUL"	40.8	28.1		7.7	10	5000	4			10000	4		4	1700	4			5000	4			10000	4		4	1700	4		
	1509	11	16						"TURKEY:  EDIRNE"	41.7	26.6											2																
	1556	3	10						"TURKEY:  ISTANBUL"	41	29			5																								
	1556	5	10						"TURKEY:  ROSANNA; NEAR ISTANBUL"	41	29											2																
	1598	5					5844		"TURKEY: AMASYA, CORUM"	40.4	35.4				60000	4						4		4			60000	4						4		4		
	1646	2	17						"TURKEY:  VAN"	38.3	43.2											3																
	1646	4	5				262		"TURKEY: ISTANBUL (CONSTANTINOPLE)"	41.04	28.98			7																								
	1648	3	31						"TURKEY:  VAN"	38.3	43.2				2000	4						3																
	1653	2	23						"TURKEY:  IZMIR,ALASEHIR,DENIZLI,AYDIN"	38.2	28.2		7.5	10	2500	4						3																
	1667	11	30				298		"TURKEY:  IZMIR"	38.4	27.1		6.6	6																								
	1668	7	10				299		"TURKEY"	38.4	27.1		6.6	9	17500	4						3																
	1679	6	4						"TURKEY; ARMENIA:  DVINA"	40.1	44.7	15	5.9		7600	4						4																
	1688	7	10	11	45		339		"TURKEY:  IZMIR"	38.4	26.9		7	10	16000	4						3		3		3	16000	4						3		3		
	1707								"TURKEY:  KARS"	40.4	43					3						3																
	1715	3	8						"TURKEY:  MAHMATAN, VAN"	38.7	43.9		6.6			3						3		3		3		3						3		3		
	1715								"TURKEY:  VAN,ERCIS"	38.3	43.2											2																
	1719	5	25						"TURKEY"	40.8	29.4			10																								
	1743	3	14				5943		"TURKEY"	36.89	30.7											2		3										2		3		
	1754	9	2	21	45		5932		"TURKEY:  IZMIT"	40.8	29.2		6.8	9		3						4		4		4		3						4		4		4
	1766	5	22	5	30		2320		"TURKEY"	40.8	29		6.5	10								2												2				
	1778	6	16						"TURKEY"	38.5	27			10																								
	1783	3	20						"TURKEY:  AMAXIKI"	38.7	30.7			10	26	1																						
	1784	7	23						"TURKEY:  ERZURUM,ERZINCAN"	39.7	39.5				5000	4						3																
	1822	8	13				3274		"TURKEY:  ANTAKYA; SYRIA:  HALAB,DIMASHQ (DAMASCUS);"	36	36			11	8000	4						4					8000	4						4				
	1822	9	5						"TURKEY; SYRIA:  DIMASHQ (DAMASCUS), HALAB; CYPRUS"	36	36			11	20000	4						4					20000	4						4				
	1827	6							"TURKEY:  TOKAT, ERBAA"	40.7	36.6			10								2												2				
	1835	8	23	15		0			"TURKEY"	38.5	35.5			10	300	3						2																
	1840	7	2	16					"TURKEY:  MT ARARAT, AGURI, ARALIKH; IRAN:  MAKU"	39.7	44.4		6.7	9	1049	3						4		4			1049	4						4		4		
	1844	5	12						"TURKEY:  OSMANCIK, ANKARA"	40.98	34.8			9	200	3						3		3			200	3						3		3		
	1845	10	11			0			"TURKEY"	39.1	26.2			10																								
	1851	2	28	15			775		"TURKEY:  FETHIYE; GREECE:  RHODES"	36.5	29		7.1	10								2												2				
	1851	4	3	16	30		778		"TURKEY: LEVISI"	36.4	28.7											2												2				
	1852	7	24			0			"TURKEY"	39.9	41.3		7.3		17	1						1																
	1855	2	28	1					"TURKEY:  TAYABAS, BURSA"	40.2	29.1		6.7	10	1900	4						2																
	1855	4	11	17	40				"TURKEY:  BURSA"	40.2	29.1			10	400	3						2																
	1855	4	29						"TURKEY:  BURSA"	40.2	29.1		6.7		1300	4						3																
	1857	4	9						"TURKEY:  HINIS"	38.4	42.1		6.7	9								3		3										3		3		
	1857	9	17	22			868		"TURKEY:  BURSA"	40.2	29			6								2		2		3								2		2		3
	1859	6	2	8		0			"TURKEY:  ERZURUM"	39.9	41.3		6.1		15000	4						3																
	1859	8	21	11	55		3381		"TURKEY:  IMBROS (IMROZ), LEMNOS"	40.2	25.8		6.9	9								2		3										2		3		
	1862	10	16			0			"TURKEY"	38.8	30.5		6.1		800	3						2																
	1863	11	6						"TURKEY:  GALLIPOLI, GEMLIK"	40.5	29.1		6.7	9	2	1						1				1	2	1						1				1
	1863								"TURKEY:  SUHUT"	38.53	30.55			10	800	3						3																
	1868	4	23			0			"TURKEY:  ERZURUM"	40	41.7		6.7									2																
	1869	12	1	19	55				"TURKEY:  GULF OF KERAMOS, MENTESE"	37	28		7.5	10	3	1						3		3			3	1						3		3		
	1872	4	3	5	45		5821		"TURKEY:  ANTAKYA (ANTIOCH), SUEDIJE"	36.2	36.2		7.3	10	1800	4						3		3		3	1800	4						3		3		3
	1874	5	4			0			"TURKEY:  KEBAN,MADEN"	38.8	38.8		6.1									2																
	1875	5	3						"TURKEY:  CAPALI, DINAR, CIVRIL, YAKA"	38.1	30.2		7.3	10	1300	4						4	1000	4			1300	4						4	1000	4		
	1875	5	11						"TURKEY"	38.7	29.4		6.1			2																						
	1875	10							"TURKEY"	40.2	26.4			10																								
	1876	5	13	6					"TURKEY"	38.8	30.5			10																								
	1878	4	19	7			2322		"TURKEY:  IZMIT, ESME, LABINIA"	40.7	29.7		6.6	9	40	1			500	3		2		3			40	1			500	3		2		3		
	1880	3	28						"TURKEY:  HELEDDI"	42	35.2		5.5	9								2	60	2	60	2								2	60	2		
	1880	6	29			0			"TURKEY"	38.6	27.1			10								3																
	1880	7	22			0			"TURKEY:  IZMIR"	38.1	27.8		6.1			3						1																
	1880	7	29	2	40	0			"TURKEY"	38.6	27.1		6.7	10	30	1						1																
	1881	6	7						"TURKEY:  VAN,NEMRUT"	38.5	43.3			7	95	2						2																
	1881	9	28			0			"TURKEY"	40.6	33.6		6.1		12	1						1																
	1883	10	15	13	30				"TURKEY:  AYVALIK, IZMIR, CESME"	38.3	26.2		7.3	10	15000	4						4	3600	4			15000	4						4	3600	4		
	1888	9	22	10		0			"TURKEY"	41.3	43.3		6.1			3						2																
	1891	4	3			0			"TURKEY:  VAN:  ADELJIWAZ"	38.3	43.2					3						3																
	1893	3	31						"TURKEY:  MALATYA"	38.3	38.3		6.7	9	400	3						3					400	3						3				
	1894	7	10	12	33	0	1213		"TURKEY"	40.6	28.7		6.7	10		3						3		3		2		3						3		3		2
	1899	9	20	2	12				"TURKEY:  SULTANHISAR,ATCA,NAZILLI,KUYUCAK,DENIZLI"	37.93	28.84		6.7	9	1117	4				4		3	7126	4			1117	4				4		3	7126	4		
	1899	12	31	7	50				"TURKEY"	41.6	43.5		5.6		247	3						2																
	1900	7	12	6	25	0			"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR"	40.3	43.1		5.9	8	140	3						3	1100	4	900	3	140	3						3	1100	4	900	3
	1901	11	8	10	18	0			"TURKEY:  HASANKALE,HINS,ERZURUM"	40	41.5		6.1	8								3																
	1901	12	18	3	51				"TURKEY:  AYVALIK, MOSKO IS; GREECE:  KHIOS"	39.4	26.7		5.9	8								2																
	1902	3	9	7	46	0			"TURKEY:  CANKIRI"	40.7	33.6		5.5	9	4	1						3																
	1902	7	5	14	56	30	1289		"TURKEY:  THESSALONIKI"	40.75	23.25		6.6	9																								
	1903	4	19			0			"TURKEY"	39.1	42.4																											
	1903	4	28	23	46				"TURKEY:  MALAZGIRT"	39.1	42.5		6.3	10	3560	4				4		4	12000	4			3560	4				4		4	12000	4		
	1903	5	28	3	58	0			"TURKEY:  VARGINIS,CARDAHLI,MEHKEREK"	40.9	42.7		5.8	8	1000	4						3					1000	4						3				
	1905	4	15						"TURKEY"	40.2	29	33	6.5	10																								
	1905	12	4	7	4	0			"TURKEY:  PUTURGE,CELIKHAN,RUMKALE"	38.1	38.6		6.8	9		3						3						3						3				
	1909	1	19	4	56	0			"TURKEY:  FOCA,MENEMEN,GUZELHISAR"	38.6	26.9		5.8	9	8	1						3																
	1909	2	9	11	24	5			"TURKEY:  ZARA,IPSALA,KOYULHISAR,ENDERS"	40.406	38.098		6.3	9		2						3		3				2						3		3		
	1909	10	29	17	38	0			"TURKEY:  KOGLACIK"	40.3	29.6		5.8	8								3																
	1910	6	25	19	26	0			"TURKEY:  HACIHAMZA,OSMANCIK,ISKILIP"	40.9	34.6		6.1	7								3																
	1912	8	9	1	29	2.1	2325		"TURKEY:  MARMARA SEA"	40.73	27.121	15	7.2		2800	4			7000	4		4	24700	4	15400	4	2800	4			7000	4		4	24700	4	15400	4
	1914	5	28	11	27	0			"TURKEY:  GEMEREK"	39.2	36		5.6	7								2																
	1914	10	3	22	6	34			"TURKEY:  BURDUR, KILINC, KECIBORLU, ISPARTA"	37.82	30.27		7	9	4000	4			700	3		4	17000	4			4000	4			700	3		4	17000	4		
	1916	1	24	6	55	13.6			"TURKEY"	40.201	37.312	15	7																									
	1924	5	13	1	52	33			"TURKEY:  ERZURUM"	39.7	42.8		5.3	9	50	1						2		3			50	1						2		3		
	1924	9	13	14	34	5			"TURKEY:  ERZURUM"	40	42		6.8	10	60	2						2	380	3			60	2						2	380	3		
	1925	1	9	17	38	24			"TURKEY:  ARDAHAN"	41.2	42.8		5.8	8	200	3											200	3										
	1925	8	7	6	46	37			"TURKEY:  DINAR"	38	30.5		5.9	8	3	1						3	2043	4			3	1						3	2043	4		
	1926	10	22	19	59	38.8			"TURKEY; ARMENIA"	40.942	43.771	15	5.9	9	400	3						4					400	3						4				
	1928	3	31	0	29	47	1594		"TURKEY:  TEPEKOY, TORBALI"	38.1	27.4		6.5	9	170	3			700	3		4	2600	4		3	170	3			700	3		4	2600	4		3
	1928	5	3	1	25	13	1600		"TURKEY:  WESTERN"	40.8	26.8		4.3	7																								
	1929	5	18	6	37	0			"TURKEY:  SUSEHRI"	40.2	37.9	10	6.5	8	64	2																						
	1934	11	27						"TURKEY:  KURDISTAN:  DIYARBAKIR (MOUCHE DIARBEKIR)"	37.919	40.211				100	2						3					100	2						3				
	1934	12	15						"TURKEY:  KURDISTAN:  DIYARBAKIR (DIARBEKIR)"	37.919	40.211				20	1			100	2		2					20	1			100	2		2				
	1935	1	4	14	41	30.8	5820		"TURKEY"	40.62	27.451	7	6.4	10	5	1			30	1		3		4			5	1			30	1		3		4		
	1935	5	1	10	24	44.5			"TURKEY:  KIGI"	40.566	43.415	10	6.1		540	3											540	3										
	1938	4	19	10	59	21.4			"TURKEY:  KIRSEHIR"	39.544	33.911	10	6.6	10	224	3						3					224	3						3				
	1939	1	2	4	35	0			"TURKEY"	36.3	30.7		5.3									3																
	1939	9	21	0	37	0			"TURKEY"	39.1	26.8		6.5	9	41	1						2																
	1939	11	21	8	43	0			"TURKEY:  ERZINCAN"	39.7	40.4	80	5.9	7	13	1						2																
	1939	12	26	23	57	23.8	2301		"TURKEY:  ERZINCAN"	39.907	39.586	20	7.8	12	32700	4			100000	4	20	3	120000	4			32700	4			100000	4	20	3	120000	4		
	1940	2	20						"TURKEY:  KAYSERI,DEVELI"	38.4	35.5			9	37	1						2																
	1940	5	7	22	23	0			"TURKEY-CIS"	41.7	43.8	19	6		16	1						2																
	1941	9	10	21	53	55.4			"TURKEY:  VAN, ERCIS"	39.196	43.444	15	6	8	430	3											430	3										
	1941	11	12	10	4	0			"TURKEY:  ERZINCAN"	39.7	39.4	70	5.9	8	15	1																						
	1942	11	15	17	1	0			"TURKEY:  BALIKESIR,BIGADIC"	39.2	28.2		6.1	8	16	1						2																
	1942	11	21	14	1	0			"TURKEY:  KASTAMONU, KARGI"	40.3	34.6			8	17	1						2																
	1942	12	2	19	4	0			"TURKEY:  CORUM"	40.6	35			8	4	1						3																
	1942	12	11	2	39	0			"TURKEY"	40.8	35.1			8								3																
	1942	12	20	14	3	9.1			"TURKEY:  NIKSAR, ERBAA"	40.907	36.744	10	7	10	1000	3						4					1000	3						4				
	1943	6	20	15	32	53.4			"TURKEY:  HENDEK, ADAPAZARI"	40.5	30.525	15	6.4	10	285	3						3					285	3						3				
	1943	11	26	22	20	48.6			"TURKEY:  LADIK, SAMSUN, HAVZA"	40.867	33.651	20	7.5	11	4020	4			5000	4		4	40000	4			4020	4			5000	4		4	40000	4		
	1943	12	5						"TURKEY:  ANATOLIA: NE"	40	40				550	3						3					550	3						3				
	1944	2	1	3	22	40.8			"TURKEY"	40.66	32.998	30	7.6	10	2381	4						3					2381							3				
	1944	6	25	4	16	0			"TURKEY:  USAK"	38.9	29.3	33	6	8	21	1																						
	1944	10	6	2	34	47.6	5818		"TURKEY:  AYVALIK"	39.509	26.587		6.7	9	30	1						4	5500	4			30	1						4	5500	4		
	1945	3	20	7	58	52.3			"TURKEY:  AELANA, CEYHAN, ADANA"	37.244	35.859	15	6.1	7	300	3											300	3										
	1945	6	21	1	33	0			"TURKEY"	38.5	43.3			7								2																
	1945	7	29	8	56	0			"TURKEY:  VAN,BOLGESI"	38.5	43.3			7	300	3						2			2000	4	300	3						2			2000	4
	1945	12	21						"TURKEY:  DENIZLI, BURDUR"	38	28.9			8	7	1						2																
	1946	2	21	15	43	0			"TURKEY:  IIGIN, KONYA"	38.2	31.8	60	5.6	8	12	1																						
	1946	5	31	3	12	46.1			"TURKEY:  USTUKRAN"	39.23	41.374	15	5.9	8	840	3						2					840	3						2				
	1949	8	17	18	44	18			"TURKEY: KARLIOVA"	39.503	40.671	15	6.8	10	320	3			355	3		3					320	3			355	3		3				
	1950	2	4	9	31	0			"TURKEY"	40	40				20	1						1																
	1951	8	13	18	33	0			"TURKEY:  KURSUNLU"	40.8	33.4		6.7	9	50	1						3																
	1952	1	3	6	3	55.1			"TURKEY:  PASINLER (HASANKALE), ERZURUM"	40.029	41.544	20	5.7	8	103	3			250	3		2					103	3			250	3		2				
	1952	6	3			0			"TURKEY:  PASINLER (HASANKALE),ERZINCAN"	39.8	39.5			7	94	2						3																
	1952	10	22	17		0			"TURKEY:  CEYHAN,MISIS"	36.5	35.5		5	7	20	1						3																
	1953	3	18	19	6	17.7			"TURKEY:  YENICE, ONON"	40.175	27.648	10	7.3		1070	4					3.57	2					1070	4					3.57	2				
	1953	6	18	5	44	0			"TURKEY:  EDIRNE"	41.4	26.3				37	1						2																
	1955	7	16	7	7	14.5	5949		"TURKEY: SOKE, AYDIN;  GREECE: SAMOS"	37.617	27.284	15	6.6	9	23	1						3			470	3	23	1						3			470	3
	1956	2	20	20	31	0			"TURKEY:  ESKISEHIR"	40	30.5		5.8	8	4	1						2																
	1957	4	24	19	10	12			"TURKEY"	36.31	28.62	40	6.9									2												2				
	1957	4	25	2	25	41.2			"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)"	36.405	28.699	35	7.3	10	18	1			92	1		4	3000	4	5000	4	18	1			92	1		4	3000	4	5000	4
	1957	5	26	6	33	38			"TURKEY:  ABANT"	40.73	31.09	25	7.1	9	52	2				3		3				4	52	2				3		3				4
	1959	4	25	0	26	0			"TURKEY:  KOYCEGIZ, MUGLA"	37	28.7		6.3	8								2																
	1959	10	25	15	57	0			"TURKEY:  NINIA"	39.1	41.6		6.2		18	1						2																
	1961	5	23	2	45	19	1917		"TURKEY"	36.693	28.594	35	6.4																									
	1962	9	4	22	59	0			"TURKEY:  IGDIR"	39.9	43.9		5.5	6	1	1						2																
	1963	9	18	16	58	14.8	4290		"TURKEY:  YALOVA:  CINARCIK"	40.698	29.159	30	6.2	8	1	1				2		2	7	1	163	3	1	1				2		2	7	1	163	3
	1964	6	14	12	16	0			"TURKEY:  MALATYA,ADIYAMAN"	38.1	38.3		6.1	8	8	1						2																
	1964	10	6	14	31	25.4			"TURKEY:  MANYAS, BURSA, BALIKESIR"	40.203	28.206	27	6.8	10	19	1					5	2					19	1					5	2				
	1966	3	7	1	16	0			"TURKEY:  VARTO, MUS"	39.1	41.6	38	6	8	10	1						3																
	1966	5	2	23	13	0			"TURKEY"	38	42.6	41	4.8									2																
	1966	7	3			0			"TURKEY:  MUS"	38.5	41.3				14	1																						
	1966	7	12	0	4	12			"TURKEY:  BAGICI"	38.9	41.3	64	4.6		12	1			20	1		3					12	1			20	1		3				
	1966	8	19	12	22	12.7			"TURKEY:  VARTO"	39.235	41.572	24	6.8	9	2394	4					20	3					2394	4					20	3				
	1967	7	22	16	57	0.7			"TURKEY:  MUDURNU, ADAPAZARI"	40.751	30.8	30	7.3	10	86	2					3	2					86	2					3	2				
	1967	7	26	18	53	0			"TURKEY:  TUNCELI"	39.5	40.4	8	6.2		97	2						3																
	1968	9	3	8	19	52.2	3297		"TURKEY:  BARTIN, AMASRA, CAKRAZ"	41.8	32.3	38	6.6	8	24	1			200	3		3	2000	4	2000	4	24	1			200	3		3	2000	4		
	1968	9	24	4	19	0			"TURKEY"	39.2	40.1	14	5.1		2	1						3																
	1969	3	23	21	8	0			"TURKEY:  DEMIRCI, GORDES, SINDIRGI"	39.2	28.5	12	5.6	8								3																
	1969	3	28	1	48	0			"TURKEY:  ALASEHIR, SARIGOL, KIRAZ"	38.6	28.4	9	6.5		53	2						3																
	1969	4	30	20	20	0			"TURKEY:  DEMIRCI, WESTERN ANATOLIA, ISTANBUL"	39.2	28.6	9	5.1									2																
	1970	3	28	21	2	26.7			"TURKEY:  GEDIZ"	39.098	29.57	25	7.2	10	1086	4			1174	4	55.6	4	8229	4	8229	4	1086	4			1174	4	55.6	4	8229	4	5586	4
	1970	4	23	9	1	0			"TURKEY:  DEMIRCI, MANISA"	39.1	28.7	18	5.7	8		1			43	1			150	3	150	3					43	1			150	3		
	1970	7	2	2	24	35.7			"TURKEY:  SIVAS"	38.8	36.7	27	4.9		1	1						2	150	3	150	3	1	1						2	150	3		
	1971	5	12	6	25	13			"TURKEY:  BURDUR"	37.6	29.8	23	5.9	6	100	2				3		3					100	2				3		3				
	1971	5	22	16	43	58.7			"TURKEY:  BINGOL"	38.8	40.5	3	6.7	8	1000	3				2	5	2					1000	3				2	5	2				
	1974	2	1	0	1	2.4			"TURKEY:  IZMIR"	38.6	27	29	5.2		2	1			20	1							2	1			20	1						
	1975	3	27	5	15	6.2			"TURKEY:  W; CANAKKALE, ECEABAT, GELIBOLU, LAPSEKI"	40.42	26.14	5	6.7	6								2																
